Review
"Bagus, banyak pilihan buku. Saran tambah menu wishlish (jdi bsa masuk list buku yg ingin dbca), anotasi (jdi bsa buat catatan atw pengingat), mode gelap ( biar bsa d bca saat malam), fitur buku yg list antrian gak ad"
"apk nya udh lumayan bagus, bisa nyari yg sesuai kategori,, tpi kenapa ya tiap mau di unduh gabisa terus? padahal jaringan juga sudah memadai :((, udh nyoba ke buku yg lain tetep gabisa"
"aplikasinya bagus, mudah diakses tapi teruntuk developer, mengapa setiap saya keluar dari aplikasi dan ingin membaca lagi buku tersebut, saya disuruh unduh lagi? ya walaupun hanya beberapa, tapi saya terkadang kesal karena unduh ulangnya terkadang lama 😔😔. mohon dijawab 🙏🏻 salam literasi."
"Apk ini sebenarnya sangat membantu dan mudah digunakan, namun buku-buku yang disediakan sangat terbatas. Hari ini Apknya gak bisa dibuka, saya sudah perbarui apknya tpi tetap tidak bisa dibuka, pdhl saya lagi sangat butuh apk ini untuk mengerjakan skripsi. Tolong diperbaiki min....pliss sepertinya ada bug, terimakasih"
"Saya merasa beruntung! iPusnas kini makin stabil. Koleksinya juga banyak. Waktu dan batas peminjaman juga lebih lama dan banyak. Semoga koleksinya makin bertambah, baik judul maupun jumlah. Saya harap tidak hanya menambah koleksi baru saja, tapi juga mengadakan koleksi karya sastrawan lama. Oiya, akan lebih bagus juga kalau pada filter pencarian ada pilihan berdasarkan penerbit. Koleksi dari seperti Penerbit Baca masih belum ada. Padahal koleksinya bagus-bagus. Semoga bisa tersedia segera."
Aplikasi butuh perbaikan dan menyediakan fitur khusus membaca tanpa terkontaminasi dengan fitur memberi tanda bacaan. Apalagi ketika kita ingin memblok tulisan sesuai yang diinginkan sangat susah. Tolong diperbaiki.
"2025 baru instal lagi dan katalog akun punyaku di tahun 2021 kenapa hilang? jadi akun baru lagi dan hanya beberapa riwayat yang ada, selebihnya hilang. Tampilan berubah total dan mengecewakan banget, karena akun ku kayak kena reset, sedih kalo bisa kembalikan tampilan awal aja jangan kayak gini, ayolah itu akunku udah lama malah jadi gini."
"UI nya ga jelas kak... kenapa pas mau highlight malah ga bisa, giliran ga mau highlight malah ke highlight sendiri mana kadang balik lagi ke halaman pertama aduhhh tolong dong di perbaiki...sama durasi pinjamnya ke lamaan jadi antre nya lama makin panjang😭😭"
"apk gjls, wifi saya sudah lancar, tapi saat mau daftar malah gabisa katanya kesalahan saat mengirim data coba lagi nanti, saya sudah coba dari jam 8 malem sampe skrg jam 4 pagi ttep ga bisa, tolong di benerin."
"Ipusnas era sebelum 2025 lebih enak dipandang. Rekomendasi buku lebih bervariasi. Tiap klik buku lain, rekomendasi buku pun berubah makin bervariasi. Ipusnas era sekarang, ga keliatan tampilan cover buku. Buku-buku rekomendasi juga itu-itu aja. Mana gak ada yg bisa dipinjam karena antri melulu. Klik ini itu ganti buku, jajaran buku rekomendasi tetap itu itu juga."
"Aplikasi ini membantu bagi kita yang malas untuk pergi ke perpustakaan atau ke toko buku untuk membaca buku, koleksi buku yang tersedia pun cukup banyak pilihannya walaupun tidak terlalu lengkap semua buku yang ada di aplikasi ini juga disediakan secara gratis walaupun ada beberapa buku yang harus antri dulu sebelum kita membaca ,saranku sih tolong di tambahkan lagi koleksi buku-buku nya agar lebih lengkap kalo dari aku sih itu aja . *salam literasi*"
Maaf banget sebenarnya apk ini helpfull sekali tapii ntah kenapa setelah di update malah jadi kurengg dari fitur filter yang nggak bisa di pakai sampai ke antrian yang terlalu overload huhuhu semoga bisa di up jadi lebih baik lagi ya🫶🏻
"aplikasi paling gak jelas, kebanyakan bug, bikin emosi tiap buka. udah disuruh sabar buat ngantri biar bisa pinjam bukunya, masih disuruh sabar lagi buat bisa baca. saya mau baca gimana sedangkan setiap saya mau unduh selalu gagal. kalaupun bisa di unduh, pasti besoknya sudah balik seperti semula. dan kalau saya unduh lagi, pasti gak bisa. harus nunggu beberapa waktu, bahkan bisa sampai berhari-hari. bukunya belum sempat saya baca, waktu pinjamnya sudah habis."
Saya tidak tahu ada masalah apa sama aplikasinya tapi hari ini ketika saya ingin membuka aplikasinya loadingnya sangat lama padahal kemarin baik-baik saja. Jika memang sudah ada yang harus diperbaiki harap segerakan. Ada banyak buku di rak peminjaman yang waktu pinjamannya sudah tinggal beberapa hari lagi. Sekian terima kasih
"setelah update kenapa jadi ga jelas? daftar riwayat buku, daftar antrian semua ilang. mau cari buku di pencarian ga ketemu padahal sebelumnya ada. sering bug, log out sendiri. jadi ga nyaman sama ipusnas yang sekarang"
"ini kenapa ya ga bisa login ipusnas, udah coba pake beberapa email, bahkan daftar ulang gabisa, begini tampilannya ""maaf ada masalah saat mengirim data bla bla bla"" padahal waktu itu baik2 aja. Tolong dong perbaiki!!!"
"ipusnas makin jelek setelah update. sampul buku pada ga muncul, antrian buku ilang semua, loading lama. aplikasi bermanfaat tp UI/UX-nya kacau."
"Versi baru loading lamaa pas masuk awal, riwayat pinjam hilang. Tampilan cover buku kadang tidak muncul gambar, direfresh berkali-kali tetep gak muncul gambar/cover buku padahal kecepatan internet ok. Versi baru untuk durasi pinjam lebih lama, tampilan aja ok/lebih fresh tapi overall lebih suka versi lama, simpel dan memudahkan pengguna. Mohon diperbaiki lagi dan didengarkan masukkan dari pengguna. Terima kasih"
"Halo iPusnas, saya kasih tiga karena cover dari buku tidak ada aneh nya. Jadi saya sedikit kesulitan. Sudah mencoba hapus data dan login ulang kemudian sudah coba di hapus tapi tetap seperti itu. Padahal jaringan bagus"
"Saya kurangi bintangnya karena permasalahan masih sama dan belum diperbaiki. : Sampul buku tidak muncul di beranda, detail buku, dan pencarian. Juga pencarian masih kurang fleksibel."
"Sama persis seperti iBI Library setelah update tampilan dan kekurangannya dari fitur pencarian (ngak bisa mencari pakai kata kunci ""nama penulis""), filter(ngak efektif). Ada buku yang jadi ngak tersedia, dan seperti buat akun baru history peminjaman kosong, settingan akun default dll."
"Baca buku gratis tanpa merasa bersalah karna 100% legal, cuman untuk buku yang populer, ngantrinya bener bener lama Edit Makin kesini ada aja masalahnya app ini, bukunya banyak, bahkan kadang gak perlu antri. Tapi, suka gak bisa loading lah, udah didownload bukunya gak bisa dibukalah, bahkan sering keluar tiba-tiba pas lagi baca buku. Sebenarnya app ini bagus banget sebagai alternatif beli buku yang makin mahal, tapi tolong dong aplikasinya diperbaiki supaya lebih accessible. Thanks."
"Assalamualaikum.. Kak, ini sekedar unek-unek ya.., Saya lebih suka dan nyaman dengan ipusnas yang dulu. Tampilannya lebih terlihat waw bagi saya, menu-menu yang ada juga lebih baik.., intinya yang dulu lebih baik. Mohon maaf sebelumnya dan terimakasih. Wassalamu'alaikum."
"sebenarnya apk nya bagus, sangat membantu tapi kualitasnya jelek banget, loading lama padahal sinyal bagus, sering eror juga antrian buku sering hilang, dan buku yang lagi dipinjam banyak yang ga bisa diunduh, copy yang tersedia banyak, tapi waktu mau dipinjam ga bisa, ga tersedia katanya tolong di perbaiki lagi aplikasinya"
"Tampilan versi sekarang bagus tapi sayang loading lama dan sering eror, bikin Tidak bisa menikmati membaca. Jalankan ingin berlama2 membaca, gara2 sering lelet jadi malas baca. Sebagai pembaca lama ipusnas, saya menyarankan mengunakan versi lama saja apalagi ipusnas ini jga membantu saya dlm mengerjakan tugas. Dan pengguna PC juga skrng tidak bisa menjalankan apps ipusnas lgi. Klo pun masih ingin mengunakan versi baru, saya harap segara diperbaiki dan kembangkan lbih bgus lgi."
"Beberapa buku yang banyak peminat memang stoknya jadi banyak, tapi sepertinya banyak juga buku yang dulunya ada jadi tidak ada. Entah dihapus permanen atau belum diinput. UI-nya sangat berubah, ada fitur yang dihilangkan seperti fitur kategori buku. Padahal fitur itu memudahkan untuk menyaring buku sesuai minat, lalu data lama pun ada yang hilang seperti antrean buku sebelum aplikasinya diupdate. Semoga bisa dipulihkan karena sudah banyak list tapi lupa apa saja kalau mesti mencarinya manual."
"Koleksinya sudah cukup bagus, namun yang perlu dicermati adalah ketika saya ingin memblok teks bacaan untuk bikin quotes, atau mengutip, selalu tidak sesuai dan pas teksnya...( Hasil blok tidak pas dan selalu lari kemana-mana) Semoga kedepannya kursornya semakin reaktif dan bisa sesuai ... Terima kasih Ipusnas"
"Apk aneh, ga jelas, loading lama, bug banyak, di pc mau pinjem buku dapet notifikasi ga ada koneksi internet di coba lagi di handphone dapet notif sama tidak terhubung koneksi internet padahal udah terhubung, ini apk yg aneh dan gajelas tapi sayangnya berguna buat nyari referensi kalau saja di optimalkan apk nya. Tapi sayangnya ga pernah optimal, menghambat waktu aja kalau loading lama dan bug banyak"
"Tampilan cover buku tidak terlihat, sudah di-refresh berkali-kali tidak ngaruh. Performa aplikasi menurun, lebih baik versi lama daripada versi baru. Notifikasi tidak update, dan beberapa kali terjadi kendala saat hendak meminjam, seperti ""jumlah kopi tidak tersedia"" padahal sedang sepi antrean."
"tidak suka versi terbarunya, loading masuk apk nya sangat lama, dan ini bener bener isu yang nyebelin parah. Versi apk terbarunya emang bagus tapi tolong dong tambahin fitur notifikasi kalau buku antrian nya udah tersedia. Atau ada fitur nya tapi aku nggak tahu? please itu berguna banget 😭"
"Mohon tingkatkan kualitas aplikasi ini dengan baik tanpa menambah ukurannya. Aplikasi ini sering galat, berfungsi kurang lancar sehingga menyulitkan saya setiap kali ingin meminjam buku-buku untuk dibaca. Mohon juga tingkatkan jumlah copy buku-buku bagus yang banyak peminatnya agar tidak perlu mengantri terlalu lama. Mohon juga tingkatkan variasi bacaan agar lebih banyak diminati. Mohon mudahkan dan perbesar minat baca anak muda Indonesia dengan memudahkan aksesnya. Terima kasih."
"Adain fitur always landscape dong. Sakit mata pembaca Indonesia yang baca di HP ini kalo dipaksa baca potrait!! Please lah 😩 masa iya harus aktifin fitur ""auto rotate"" sendiri di HP. Adaaaiiinn dong biar lebih praktis, mudah diakses dan meningkatkan minat baca. TERIMAKASIH"
"entah kenapa semenjak update jadi kurang nyaman, yang pertama loading lama bgt padahal jaringan bagus. yang kedua pas pinjem buku gak bisa di download error mulu, bukan cuma 1 atau 2 buku tapi semua buku yg saya mau pinjam error. yang ketiga, keseringan logout akun jadi sedikit bosen tiap buka ipusnas harus login mulu."
"Untuk aplikasi gratis, ipusnas memiliki banyak keunggulan, diantaranya: koleksi bukunya cukup banyak dan variatif, waktu peminjaman lumayan lama, dan jumlah buku yang bisa dipinjam juga banyak. Selain itu, aplikasi ini juga masih bisa digunakan ketika offline. Sangat menarik dan bermanfaat sekali."
"di keterangan tersedia copy-nya masih banyak, tapi pas di pinjam malah muncul ""jumlah copy tidak cukup"". terus loadingnya lamaaa banget 😩. belum lagi di rak pinjam kadang hilang hilangan. ngga cuma itu, setiap udah pinjam terus di unduh ngga bisaa, error gitu. pliss diperbaiki karena udah dapet buku yang di incar malah ngga bisa dibaca...😩."
"tampilan terbaru-nya gak banget, bikin makin repot cari buku-buku baru dan populer. selain itu app-nya jg sering error dan loading lama bgt. jd kalau mau pinjam buku hrs langsung cari judul dan antri. tolong ini aplikasinya dimantapkan dulu deh, jgn ngasal kalau mau upgrade aplikasi untuk rakyat"
"Update terbaru, ke 5 kalinya. Again and again banyak bug, sampu sampul buku gaada yang muncul sama sekali gambarnya. Cuma bisa liat judul aja 😁 ayo dong sempurnakan, begini begini mulu aplikasinya 😌"
"Aplikasinya makin bagus setelah di update, tp masih ada buku yg stlh diunduh ttp ga bisa. Tolong dong tambahin fitur watching list, jd kalo lewat di beranda bacaan bagus bisa di like atau save judulny biar ga lupa"
Dulu pernah saya kasih bintang 5 karna enteng dan lumayan cepet aplikasinya. Lalu saya kasih bintang 2 karna sering error saat buka aplikasi. Sekarang saya kasih bintang 1 karna aplikasinya semakin lemot dan prosesnya sangat lama. Segar sih tampilannya. Tapi saya gak butuh tampilan bagus tapi gak nyaman untuk baca karna lemot sekali. Masak malah makin menurun kualitasnya
"dulu sebelum update aku sempet baca sekitaran 15 buku dan kehitung hampir tiap bulan namatin target baca. Tapi semenjak update aplikasi nya jadi super jelek dan loading gak jelas, sedih banget sekarang aku kesulitan akses membaca, apalagi di kota ku perpustakaan dikit banget dan koleksi nya pun terbatas. Tolong perbaiki lagi supaya aku bisa kembali membaca :)"
"Aplikasinya sudah bagus, Koleksi bukunya juga banyak. Ada satu hal yang mengganggu waktu mau pinjam buku, disitu tertulis jumlah copynya ada banyak, kenapa waktu saya ingin meminjam buku malah muncul tulisan 'Jumlah Copy tidak tersedia' padahal di deskripsi ada 100+ copy yang tersedia. Mohon diperbaiki lagi, Terima kasih."
"Lola banget meskipun signal bars penuh dan jaringan stabil. Cepat kalau pakai Wi-Fi tapi gak semua orang berlangganan. Segera diperbaiki, plusnya memang copy-an jadi lebih banyak tapi cari buku yang baru dimasukin ke apk ini jadi sulit."
"Tampilan aplikasi setelah diperbarui sangat bagus, tapi banyak minusnya, buku-buku yang sudah dipinjam tidak bisa lagi untuk dibaca offline, daftar antrian, daftar teman, riwayat buku yang sebelum diperbarui juga sudah hilang entah kenapa, tolong diperbaiki lagi min aplikasinya, padahal versi sebelumnya udah bagus loh, banyak juga yang suka dan ngasih ulasan positif, tapi setelah diperbarui, ulasannya jadi negatif semua"
"Hallo iPusnas, banyak sekali keluh kesah yang dirasakan setelah adanya pembaharuan aplikasi ini. Sangat disayangkan kali banyak orang yang merasakan kesulitan dalam mengaksesnya. Mohon dengan kesediaannya untuk segera memperbaiki permasalahan yang ada. Aplikasi ini kini sudah menjadi salah satu alternatif untuk membaca maupun juga mencari referensi dengan mudah dan menyenangkan. Oleh karena itu, dengan ini saya berharap semoga pengalaman kami dalam menggunakan aplikasi menjadi lebih baik."
"Hallo admin, kenapa ipusnas error setelah pembaharuan, banyak buku yang tidak ada dan sering kali log out, mau login lagi butuh waktu yg lama karena loading. Tolong kembalikan seperti semula saja aplikasinya, karena lebih nyaman daripada sekarang sulit sekali mencari buku dan sering keluar apk"
"Tiba2 ke log out sendiri, loading aplikasi sangat lama. Sekarang yang udah diupdate adalah highlight kalimat yang mau dihighlight, sebelumnya ribet pas mau highlight, sekarang udah bisa"
"Aplikasinya sebenarnya bagus kok, banyak bukunya. Tapi untuk fitur edit kayaknya masih kurang. Susah banget buat penandaan pada bagian kalimat-kalimat. Ada beberapa buku yang populer, kadang copy-nya tidak tersedia. Semoga bisa terus upgrade aplikasinya agar lebih memudahkan penggunanya."
"Saya sungguh tidak nyaman setelah update versi terbaru. Loading lama dan sekali dapat pinjaman buku terjadi error padahal internet baik-baik saja. Saya harap aplikasinya bisa menjadi lebih baik lagi, karena sejak awal saya sudah menyukai aplikasi ini."
"Gak nyangka ternyata emang semengecewakan itu ipusnas sekarang. Harapanku gak muluk-muluk sih. Cukup ubah ke tampilan dulu atau buat versi lama tetap bisa diakses. Upgrade itu emang penting banget, mau dari segi tampilan atau fitur. Tapi kalo upgradenya malah menyusahkan bukannya itu gak ada gunanya? Malah menghambat user lama yang sebelumnya merasakan manfaat ipusnas ini? Rating ipusnas sekarang emang rendah banget tapi ya begitulah yang kebanyakan user rasakan."
"Setelah update ulang aplikasinya kenapa susah sekali buat loading di beranda kalau di biarkan terus begitu lama2 minat baca lewat media elektronik bisa turun drastis,ayo dong tim programnya persoalan ini jangan di sepelekan saya masih tetep dukung untuk menggunakan aplikasi ini karena ini cukup fleksibel buat saya."
"Astagaa min, sangat kecewa dengan aplikasi ini. Dari sisi UI/UX nya udah oke bagus ini dari pada yang dulu, tapi sangat disayangkan pas masuk loadingnya lemot sekalii. Kalo saranku mending update yang dulu aja, lebih oke."
"Kok makin kesini makin nggak efektif ya aplikasi nya setelah di update, loading lama, terus harus masuk terus kalo beberapa hari nggak di buka. Tolong dong kalo di update, sistem nya makin bagus bukan malah makin nggak bisa digunain gini. Padahal banyak yang terbantu dengan adanya perpustakaan digital ini, semoga lebih di perbaiki lagi"
"Saya sangat suka dengan aplikasi ini, hanya saja setelah update ada hal yang harus diperbaiki ulang dari aplikasi ini seperti loading halaman depan lama dan riwayat pinjaman hilang. Terlepas dari masalah kecil tersebut, saya tetap ingin mengucapkan terima kasih karena sudah menciptakan aplikasi yang sangat bermanfaat ini."
"sering error, pas mau pinjem buku selalu gak bisa pdhl disitu tertera msh ada 2 copy trs sudah didownload tp file nya tidak bisa dibuka."
"sebenarnya bagus ada aplikasi begini, tapi jujur, ga bisa diunduh. sepertinya ini bug, tolong di fixing. ga tau kenapa bug major seperti itu bisa lolos QC 🥲"
"APLIKASI GILAA! Keluhan: 1.Nyari buku harus sesuai nama bukunya. 2.Buku yang sudah didownload tiba-tiba hilang, padahal lagi gak hapus file sampah. 3.Loading lama"
"Halo Ipusnas, saya sempat menikmati aplikasi ini selama dua minggu. Setelah itu, sama sekali tidak pernah bisa lagi meminjam apapun. Keterangan yang diberikan adalah server sedang dalam maintenance. Masa sih maintenance sampai berhari2? Saya Coba lagi gunakan aplikasi negara yang dibiayai pake pajak saya ini. Ternyata 7 April 2025, tidak ada satu bukupun yang bisa saya download saat saya pinjam."
"Sudah bagus sih. tapi sayang banget bentar-bentar disuruh login, terus buku yang udah di unduh masa di suruh unduh lagii, tolong diperbaiki ribet soalnya kalau mau baca di tempat jauh dari sinyal"
"bagus, tapi tolong perbaiki lagi. karna terkadang ada bug dari aplikasi. antrian nya pun lama, jadi harus cek setiap saat"
Tolong dong bukunya dilengkapi lagi dan juga tiba-tiba logout akunnya tolong juga di sempurnakan lagi demi kepentingan pembaca
"sebagai pemakai lama ipusnas, entah kenapa kurang di update terbaru. karena gambarnya lama banget munculnya bahkan gak muncul. tolong banget saya bingung"
"Sebenarnya bagus sih, ada inovasi seperti ini. cuman tolong lebih tingkatin lagi persediaan copy, dan waktu peminjaman🙏🏻😇"
"Aplikasi Ipusnas, tidak seperti dulu, sekarang aplikasi saat sudah download buku, harus download lagi berkali-kali, saya sudah mendownload 5 kali untuk 1 buku, entah kenapa kembali untuk mendownload lagi.."
"waktu buka web ini untk membaca buku diarahkan ke aplikasi, setelah mengunduh aplikasi, aplikasi nya sangat lemot walaupun sinyal cukup bagus, load nya lama, tolong diperbaiki jika ingin budaya literasi di negri kita lestari"
"Versi terbaru ini penampilannya lebih oke di desain""nya, tetapi sayang sekali.. setiap ingin mengunduh buku yg akan di pinjam selalu error,juga setiap mencari buku kebanyakan hasilnya tidak dapat ditemukan."
"Semenjak di-update malah jelek mana sering loading ditambah buku yg udah didownload harus didownload ulang lagi klo udh brpa hari, kesel sihh🥲 mana antrian bukunya lama benget dan juga fitur pencarian bukunya masih kurang. Tolong lebih ditingkatkan lagi. Overall ebih suka ipusnas yg dlu sih"
"sejak diperbarui, udah gak bisa buat baca, loading lama dan alasan jaringan, padahal sinyal WiFi kuat"
"Agak kecewa dengan aplikasi iPusnas, karena terus loading dan hanya laman linimasa dan profil yang berhasil termuat (meskipun memakan waktu lama). Semoga update kedepannya dapat memperbaiki kendala ini 👍"
"Hai iPusnas ,jujur aplikasi nya selama ini sudah cukup membantu, update yang sekarang pun dari segi penampilan aplikasi nya di dalam cukup menarik. Untuk kali ini loading entah kenapa sangat lama, saya kira saya kurang update ternyata tidak. Saya mencoba mengulang membuka aplikasi tapi loading tetap lama. Tolong di perbaiki."
bener bener lemot banget aplikasi. gabisa sama sekali buka di laptop. lupa kata sandi gaada masuk ke email. gabisa buka apa apa. sekelas aplikasi perpustakaan nasional ga bisa ngapa ngapain. mau nyari jurnal di web juga gabisa sedang perbaikan terus.
kenapa ya linimasa nya tulisannya kayak gitu merekomendasikan buku bukan minjam atau memberi ulasan lagi atau aku aja yang kayak gitu aku perlu banget linimasa buat cari buku buku yang bagus kalau yang merekomendasikan itu buku yang muncul di linimasa jadi dikit tolong kayak dulu aja ya kak kalau untuk yang lain aman cuma buku buku nya di tambah lagi koleksinya heheh 🙏🙏
"Aplikasi ini sangat bagus, dan sangat membantu saya yang tiba-tiba suka membaca buku, ini pertama kali saya membaca buku dan saya memulainya menggunakan apk ipusnas, aplikasi sangat bagus tapi sangat di sayangkan kenapa beberapa orang memberikan bintang jelek, padahal aplikasi ini sangat bagus dan sangat membantu, semoga kedepannya ratingnya semakin baik karena aplikasi ini sangat bagus , buku nya gratis di baca, saya suka. Terimakasih"
"Tampilan makin bagus,kualitas makin buruk, setiap mau baca buku harus unduh ulang,kadang ga bisa di unduh,tidak bisa membaca offline."
"Apakah ini akibat efisiensi anggaran, sehingga service nya buruk sekali? susah login, pas login susah pinjam, pas pinjam susah ngunduh, merasa percuma ada perpus digital juga klo kualitasnya seperti ini, karena saya susah ke perpus yang offline nya karena gak bisa di akses di hari libuur."
"Bagus, menjembatani untuk mebaca buku dengan mudah, tapi sayangnya sering bug, dan daftar pinjam sering hilang pdhl sdh download. Semoga kedepan lebih baik."
"akhirnya udah bisa login dan minjem buku lagiii 😆, tapi masih banyak buku yang antriannya penuh bangett. developer tolong dong diperbanyak lagi copyannya."
"Aplikasi bagus sangat membantu sekali, tapi kalau mau minjam buku nya harus antri, jadi mahasiswa yang mau membaca buku yg harus di bacanya untukenyelesaikan tugas kuliah nya jadi terhambat gara² terbatas untuk meminjam buku tersebut."
Aplikasinya sangat bermanfaat dan bagus tapi akan sangat bagus bila ada fitur mode gelapnya agar para pembaca tidak sakit mata saat membaca di malam hari
kenapa harus unduh berulang kali kalau kita sudah mendapatkan hak peminjaman 14 hari ini kan merugikan pengguna aplikasi yang harus membuang kuota terlalu banyak. saya rasa ada unsur kapitalisme atau paling tidak kinerja bagian sirkulasi buku digital tidak kompeten. saya berharap kritik ini tidak hanya dibaca saja tapi ditindaklanjuti. itulah pekerja sejati.
